chip_id,lot,wafer,die_x,die_y,ip_name,testcase,voltage,freq,result,fail_reason
TC001,L01,W01,0,0,alu,add_basic,0.80,100,PASS,
TC002,L01,W01,0,1,alu,sub_basic,0.80,100,PASS,
TC003,L01,W01,0,2,alu,and_or,0.80,100,PASS,
TC004,L01,W01,1,0,alu,shift_left,0.80,100,FAIL,timing_margin
TC005,L01,W01,1,1,alu,shift_right,0.80,100,PASS,
TC006,L01,W01,1,2,alu,add_basic,0.72,120,FAIL,low_voltage
TC007,L01,W02,0,0,alu,sub_basic,0.72,120,PASS,
TC008,L01,W02,0,1,alu,and_or,0.72,120,PASS,
TC009,L01,W02,0,2,alu,shift_left,0.72,120,FAIL,timing_margin
TC010,L01,W02,1,0,alu,shift_right,0.72,120,PASS,
TC011,L02,W01,0,0,timer,reset_basic,0.80,100,PASS,
TC012,L02,W01,0,1,timer,counter_rollover,0.80,100,FAIL,functional
TC013,L02,W01,0,2,timer,interrupt,0.80,100,PASS,
TC014,L02,W01,1,0,gpio,input_sample,0.80,100,PASS,
TC015,L02,W01,1,1,gpio,output_drive,0.80,100,PASS,
TC016,L02,W02,0,0,gpio,input_sample,0.72,120,PASS,
TC017,L02,W02,0,1,gpio,output_drive,0.72,120,FAIL,signal_integrity
TC018,L02,W02,0,2,alu,add_basic,0.90,150,PASS,
TC019,L02,W02,1,0,alu,shift_left,0.90,150,FAIL,timing_margin
TC020,L02,W02,1,1,timer,counter_rollover,0.90,150,PASS,

